Algorithm,Metric,mean,median,std,min,max
FCFS,AvgTurnaroundTime,205.5627,210.28500000000003,29.364768344209548,119.96,267.99
FCFS,AvgWaitingTime,198.06009999999998,202.89,29.30235242375016,112.33,260.38
FCFS,CPUUtilization,88.1081,88.26,0.639889029205042,84.85,89.07
FCFS,Throughput,0.1185,0.12,0.003859920970562724,0.11,0.13
Priority-NP,AvgTurnaroundTime,205.3739,207.635,29.72692191695206,114.91,269.45
Priority-NP,AvgWaitingTime,197.87130000000002,200.04500000000002,29.671688225163617,107.28,261.84
Priority-NP,CPUUtilization,88.1081,88.26,0.639889029205042,84.85,89.07
Priority-NP,Throughput,0.1185,0.12,0.003859920970562724,0.11,0.13
RoundRobin,AvgTurnaroundTime,353.1954,359.78,44.814746274823065,222.1,455.21
RoundRobin,AvgWaitingTime,345.6928,352.115,44.737166617134946,214.99,447.21
RoundRobin,CPUUtilization,79.57,79.685,0.5338955370149154,77.06,80.5
RoundRobin,Throughput,0.1065,0.11,0.0047937248544110194,0.1,0.11
SJF-NP,AvgTurnaroundTime,166.49740000000003,169.75,25.450552121176603,93.13,228.05
SJF-NP,AvgWaitingTime,158.9948,162.155,25.39049346793903,85.54,220.44
SJF-NP,CPUUtilization,88.1081,88.26,0.639889029205042,84.85,89.07
SJF-NP,Throughput,0.1185,0.12,0.003859920970562724,0.11,0.13
